ALPHA,GAMMA_Q,THETA_V,mean_crises_per_session,pct_sessions_with_crisis,median_RMP_baseline
0.2,0.08,1.2,0.618,0.284,0.9720833333333332
0.2,0.08,1.5,0.066,0.048,0.9750833333333332
0.2,0.08,1.8,0.012,0.008,0.9741111111111109
0.2,0.12,1.2,1.342,0.454,0.9696666666666667
0.2,0.12,1.5,0.242,0.108,0.9726388888888888
0.2,0.12,1.8,0.026,0.02,0.9751944444444443
0.2,0.18,1.2,3.856,0.76,0.9557222222222221
0.2,0.18,1.5,1.0,0.36,0.9704444444444442
0.2,0.18,1.8,0.214,0.09,0.9735833333333332
0.3,0.08,1.2,1.31,0.442,0.9700694444444444
0.3,0.08,1.5,0.25,0.132,0.974361111111111
0.3,0.08,1.8,0.022,0.018,0.9740555555555555
0.3,0.12,1.2,3.588,0.768,0.9640277777777777
0.3,0.12,1.5,0.942,0.366,0.9712222222222221
0.3,0.12,1.8,0.178,0.116,0.9735277777777775
0.3,0.18,1.2,10.858,0.976,0.88425
0.3,0.18,1.5,5.086,0.86,0.9400277777777777
0.3,0.18,1.8,1.54,0.484,0.9685694444444441
0.4,0.08,1.2,2.582,0.682,0.9639027777777777
0.4,0.08,1.5,0.652,0.288,0.9725833333333331
0.4,0.08,1.8,0.08,0.042,0.9744444444444444
0.4,0.12,1.2,8.204,0.944,0.9204027777777777
0.4,0.12,1.5,3.124,0.712,0.9606388888888888
0.4,0.12,1.8,0.81,0.332,0.9722222222222221
0.4,0.18,1.2,18.698,1.0,0.8352777777777778
0.4,0.18,1.5,12.646,0.99,0.866875
0.4,0.18,1.8,6.468,0.91,0.9259999999999999
